"","Station_number","Year","Month","Day","Temp_min","Temp_max","Rainfall","Solar_exposure"
"329",9225,1995,1,30,13.7,28.5,0,30.4
"330",9225,1995,1,31,16.2,29,0,30.2
"331",9225,1995,2,1,16,26.7,0,30.5
"332",9225,1995,2,2,16.3,26.3,0,30.5
"333",9225,1995,2,3,13.6,24.3,0,29.9
"334",9225,1995,2,4,15.3,22.5,1.2,30
"335",9225,1995,2,5,13.8,27.5,0,30.7
"336",9225,1995,2,6,13.8,33.5,0,30.9
"337",9225,1995,2,7,18.4,37.2,0,31
"338",9225,1995,2,8,21.2,36.5,0,30.7
"339",9225,1995,2,9,19.5,36.2,0,29.9
"340",9225,1995,2,10,18.3,37,0,29.7
"341",9225,1995,2,11,17.4,30.9,0,30
"342",9225,1995,2,12,16.1,29,0,29.2
"343",9225,1995,2,13,18.8,29.5,0,28.6
"344",9225,1995,2,14,18.6,23.7,0,28
"345",9225,1995,2,15,14.7,30.3,0,29.1
"346",9225,1995,2,16,15.9,32.2,0,29.6
"347",9225,1995,2,17,15.8,35.9,0,28.7
"348",9225,1995,2,18,17.8,38.3,0,23.7
"349",9225,1995,2,19,25.4,39.2,0,25.9
"350",9225,1995,2,21,23.5,37.2,0,26.1
"351",9225,1995,2,22,23,38.9,0,25.6
"352",9225,1995,2,24,22.2,23.3,9.4,7.9
"353",9225,1995,2,25,14.4,27.3,0,22.6
"354",9225,1995,2,26,17.5,25.9,0,21.4
"355",9225,1995,2,27,17.8,26.3,0,18
"356",9225,1995,2,28,18.1,29.2,0,20.8
"357",9225,1995,3,1,19,28.9,0,19.5
"358",9225,1995,3,2,20.3,29.3,0,14.4
"359",9225,1995,3,3,20,27.9,0,25.1
"360",9225,1995,3,4,16.7,25.8,0,24
"361",9225,1995,3,5,12.9,26.4,0,26.1
"362",9225,1995,3,6,13.3,27.4,0,25.9
"363",9225,1995,3,7,13.2,28.4,0,25.6
"364",9225,1995,3,8,13.2,28.8,0,25.3
"365",9225,1995,3,9,15.3,29.6,0,25.7
"366",9225,1995,3,10,13.6,31.4,0,25.2
"367",9225,1995,3,11,12.1,31.1,0,24.9
"368",9225,1995,3,12,16.8,34.2,0,24.3
"369",9225,1995,3,13,15.7,33.8,0,24.3
"370",9225,1995,3,15,15.7,37.6,0,23.8
"371",9225,1995,3,16,16.9,29.7,0,23.3
"372",9225,1995,3,17,16.7,29.9,0,23.1
"373",9225,1995,3,18,15.5,30.6,0,23.1
"374",9225,1995,3,19,17.4,34.3,0,22.9
"375",9225,1995,3,20,19.6,35.4,0,23.8
"376",9225,1995,3,21,15.7,34,0,23.1
"377",9225,1995,3,22,16.3,34.3,0,22.8
"378",9225,1995,3,23,17.2,30.8,0,9.7
"379",9225,1995,3,24,21.3,33.2,1.8,19.7
"380",9225,1995,3,25,21.4,31.6,0,22
"381",9225,1995,3,26,19.9,32.5,0,21.2
"382",9225,1995,3,27,19.9,30.9,0,11.1
"383",9225,1995,3,28,20.4,32.5,12.2,11.7
"384",9225,1995,3,29,18.9,25.9,5,4.8
"385",9225,1995,3,30,17.2,28.5,1,16
"386",9225,1995,3,31,18,23.7,0,9.2
"387",9225,1995,4,1,15,27.8,0,20.8
"388",9225,1995,4,2,13,26.6,0,20.6
"389",9225,1995,4,3,13,23.4,0,12.4
"390",9225,1995,4,4,13,25.1,0,20.4
"391",9225,1995,4,5,15,28.6,0,18.2
"392",9225,1995,4,6,17,30.1,0,20
"393",9225,1995,4,7,17,28.8,0,19
"394",9225,1995,4,8,17,24.1,0,10.1
"395",9225,1995,4,9,16,23.8,1.2,10.5
"396",9225,1995,4,10,18,29.5,0,18
"397",9225,1995,4,11,16,27.5,0,16.4
"398",9225,1995,4,12,17,30.9,0,17.3
"399",9225,1995,4,13,20,28.3,0,17.3
"400",9225,1995,4,14,19,24.5,3.6,8.7
"401",9225,1995,4,15,9,21.4,0.6,17
"402",9225,1995,4,16,7,21.9,0,18.1
"403",9225,1995,4,17,10,21.6,1.8,13.1
"404",9225,1995,4,18,8,22.7,0,18
"405",9225,1995,4,19,8,23.1,0,18
"406",9225,1995,4,20,8,25.2,0,18
"407",9225,1995,4,22,13,24.2,0,17.7
"408",9225,1995,4,23,11,23.4,0,16.9
"409",9225,1995,4,24,9,26.1,0,16.7
"410",9225,1995,4,25,10,27.2,0,16.5
"411",9225,1995,4,29,7,20.1,0,13.8
"412",9225,1995,4,30,9,19.2,0,13.4
"413",9225,1995,5,1,5,21.4,0,15.8
"414",9225,1995,5,2,10,21.7,0,15.5
"415",9225,1995,5,3,10,20.3,0,15.9
"416",9225,1995,5,4,11,21.6,0,15.2
"417",9225,1995,5,5,12,22.5,0,15.2
"418",9225,1995,5,6,10,23,0,15.3
"419",9225,1995,5,7,6,24.5,0,14.9
"420",9225,1995,5,8,8,26.4,0,14.6
"421",9225,1995,5,9,11,27.5,0,10.7
"422",9225,1995,5,10,17,24.1,39.2,8.2
"423",9225,1995,5,13,13,19.2,15.6,10.7
"424",9225,1995,5,14,8,20.6,0,13.1
"425",9225,1995,5,15,9,20.9,0,12.2
"426",9225,1995,5,16,8,22.8,0,13.9
"427",9225,1995,5,17,12,21.3,0,1.6
"428",9225,1995,5,19,10,22,0,7.4
"429",9225,1995,5,24,7,16.3,14.6,9.2
"430",9225,1995,5,26,6,19.9,0,12.8
"431",9225,1995,5,27,6,20.3,0,11
"432",9225,1995,5,28,7,18.8,0.2,9.7
"433",9225,1995,5,29,4,18.1,2.4,11.8
"434",9225,1995,5,30,4,18.6,0,12.2
"435",9225,1995,5,31,8,21,0,12
"436",9225,1995,6,1,6,19.6,0,6.7
"437",9225,1995,6,2,9,18.7,3.4,5.8
"438",9225,1995,6,3,7,20.2,0,11.4
"439",9225,1995,6,4,5,23.4,0,11.9
"440",9225,1995,6,5,12,21.9,2.4,10.2
"441",9225,1995,6,7,14,19.8,25,9
"442",9225,1995,6,8,9,14.6,26.4,3.6
"443",9225,1995,6,9,7,13.6,36,7.7
"444",9225,1995,6,10,2,14.2,2.6,11.8
"445",9225,1995,6,14,5,18.3,0.2,11.8
"446",9225,1995,6,15,3,18,0,12.1
"447",9225,1995,6,18,5,17.4,0,12.4
"448",9225,1995,6,19,12,16.4,0,1.6
"449",9225,1995,6,20,12,15.4,5.4,3.9
"450",9225,1995,6,21,11,19.9,0,10.6
"451",9225,1995,6,22,13,17.2,0,4.2
"452",9225,1995,6,23,12,19.9,5.6,9
"453",9225,1995,6,24,11,18.8,2.6,9.3
"454",9225,1995,6,25,13,15.7,11.2,9.4
"455",9225,1995,6,26,6,16.2,4.8,9.1
"456",9225,1995,6,29,4,17.9,0,11.1
"457",9225,1995,6,30,7,18.5,0,7.7
"458",9225,1995,7,1,5,18.9,0,11.1
"459",9225,1995,7,2,6,19.8,0,11.8
"460",9225,1995,7,3,7,19.4,0,11.4
"461",9225,1995,7,5,8,20.7,0,7.8
"462",9225,1995,7,6,9,17.3,14.6,9.9
"463",9225,1995,7,7,10,18.9,1.2,7.3
"464",9225,1995,7,8,11,15.6,47.2,8.1
"465",9225,1995,7,9,10,16.3,10.6,8.2
"466",9225,1995,7,10,10,18.7,1,9.9
"467",9225,1995,7,11,12,20,18,8
"468",9225,1995,7,15,9,15.3,11.4,7
"469",9225,1995,7,16,6,15.1,16.6,12.7
"470",9225,1995,7,19,11,15.3,0,4.4
"471",9225,1995,7,21,10,16.7,21.2,8.4
"472",9225,1995,7,22,10,15.9,1.2,12.4
"473",9225,1995,7,23,6,18.6,0,11.2
"474",9225,1995,7,25,10,17.2,32.4,11.5
"475",9225,1995,7,27,11,19.9,2.2,10.2
"476",9225,1995,7,29,12,15.4,24.6,8.5
"477",9225,1995,7,30,9,17.9,14,11.7
"478",9225,1995,7,31,10,17.6,1.8,8
"479",9225,1995,8,2,4,17.4,0,14.5
"480",9225,1995,8,4,5,19.5,0,15.6
"481",9225,1995,8,5,7,19.1,0,15.7
"482",9225,1995,8,6,8,19.3,0,14.5
"483",9225,1995,8,8,11,17,0,1.3
"484",9225,1995,8,10,13,20,5.2,12.7
"485",9225,1995,8,12,10,19,4.8,9
"486",9225,1995,8,13,11,17.9,13.6,15.8
"487",9225,1995,8,14,6,21.5,0,17
"488",9225,1995,8,16,11,20.3,0,11.7
"489",9225,1995,8,18,8,19.8,0,15.6
"490",9225,1995,8,19,10,18.4,3.8,8
"491",9225,1995,8,20,4,17.3,5.2,12.8
"492",9225,1995,8,22,13,18.5,3.4,14.7
"493",9225,1995,8,23,14,19.1,0.8,12.2
"494",9225,1995,8,24,12,15.2,5.4,13.2
"495",9225,1995,8,26,13,19.2,12.2,11.6
"496",9225,1995,8,27,7,23,0,19
"497",9225,1995,8,28,7,25.4,0,19
"498",9225,1995,8,30,9,14.8,1,14.8
"499",9225,1995,9,1,7,18.7,0,16.5
"500",9225,1995,9,2,7,20.5,0,19.9
"501",9225,1995,9,3,11,20,25.6,16.1
"502",9225,1995,9,5,12,24.1,0.6,11.4
"503",9225,1995,9,6,14,19.4,30.2,15.5
"504",9225,1995,9,7,13,20,7.4,17
"505",9225,1995,9,9,13,19.1,0.4,15.8
"506",9225,1995,9,10,7,19.8,0.2,18.1
"507",9225,1995,9,12,12,19.7,0.8,11.2
"508",9225,1995,9,13,7,17.8,10.2,18.4
"509",9225,1995,9,14,7,19,0,14.9
"510",9225,1995,9,15,7,21.1,0,22.4
"511",9225,1995,9,16,7,25.2,0,22.5
"512",9225,1995,9,17,13,19.7,0,14
"513",9225,1995,9,18,15,20.3,1.6,18.9
"514",9225,1995,9,19,11,20.5,2,16.3
"515",9225,1995,9,20,13,18.6,1.2,11.8
"516",9225,1995,9,21,6,19.6,0,24.4
"517",9225,1995,9,22,9,20,0,22.6
"518",9225,1995,9,23,9,21.9,0,24.1
"519",9225,1995,9,24,11,26.5,0,24
"520",9225,1995,9,25,12,20.7,0,24
"521",9225,1995,9,26,10,23.1,0,14.2
"522",9225,1995,9,27,14,21.1,0.6,12
"523",9225,1995,9,28,13,19.5,0,13.2
"524",9225,1995,9,29,9,18.7,1.4,18.2
"525",9225,1995,9,30,8,18.2,0,21.8
